Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
Southern Illinois   (H) 62 Missouri St.,MVC,21,11-114–6,101.4197,97.780,.6048124,51.1123,48.8132,18.3139,17.9220,24.7277,22.210,29.7188,26.794,50160,50.4206,3596,30.345,61.8351,-6.2219
South Alabama,SB,17,15-65–3,104.7124,101.1153,.5987125,52.188,48.195,19.1194,21.940,26.2247,31.8303,31.1154,31.8224,52.872,48.5134,33.8164,31.686,68.8102,-2.5104
,,,,,,,,,,,,,,,,,,,,
Oral Roberts,Sum,19,15-79–2,108.471,104.9233,.5928126,54.923,48.9138,14.710,13.5354,25.7260,25.468,20.6352,24.857,5292,49.7169,38.711,31.686,70.550,-3.1128
Saint Joseph's,A10,20,9-113–6,103.1156,100.1133,.5858127,50.4155,48.3108,20.1259,14348,28.2184,24.142,24.5320,26.282,49.9162,46.151,34148,35.8285,7063,-5.8201
Temple   (A) 160 East Carolina,Amer,18,11-74–3,101.7191,98.8104,.5821128,46309,45.627,18.1130,17.5248,33.242,31271,37.920,28.3139,46.9276,45.127,29.7321,30.963,65.7274,-1.888
Gardner Webb   (A) 240 High Point,BSth,18,11-105–3,98.1255,95.548,.5776129,49.9177,45.526,20.3271,19.5124,26.7232,27.6139,28.4228,34.8285,50.5140,48.5134,32.7221,27.65,67.7161,-6.1211
Georgia Tech   (A) 49 Virginia Tech,ACC,19,9-112–7,99.4229,97.070,.5707130,49.6187,49.5163,19.1194,19.4132,26.1249,27.4127,26.1288,30.9204,48.2228,50.5211,34.9100,31.9103,68.1144,-5.5191
Monmouth,MAAC,20,13-75–4,101.5193,99.3121,.5629131,48.5237,46.444,18.3139,17.5248,28.7166,26.385,3731,32.8243,47.9245,45.329,33.1193,31.9103,67.7159,-2.6111
Longwood   (A) 239 UNC Asheville,BSth,16,15-57–0,105.7107,103.6201,.5584132,52.188,50184,18.6164,2099,33.436,26.385,33.583,28.9146,50.1155,51.8265,37.130,31.8100,67.1198,-2.8115
Navy   (A) 309 Lehigh,Pat,20,14-77–3,98.3250,96.462,.5542133,49.4193,47.676,19.8245,20.576,32.653,25.158,28240,32.8243,49.2187,47.794,33.1193,31.686,65.5291,-3.5138
Nevada,MWC,18,9-103–5,102.8165,100.8147,.5539134,48.8221,52.4277,18.5153,18.1209,24.6280,26.385,32.4108,27.6119,50.8128,51.3246,30.4302,35.8285,71.425,-4.1157
Hawaii,BW,14,11-57–0,104.8121,102.9183,.5524135,52.380,47.157,19.7232,15336,28.3179,25.875,31.6135,31.4214,51.898,46.865,35.387,31.9103,66.2251,-3.1127
Nebraska,B10,22,6-160–11,102.5171,100.6143,.5521136,48.9219,50.8217,17.270,19.6117,20.1348,32.7322,32.3111,29.4158,51122,49.7169,30.3304,35247,72.211,-8269
Appalachian St.,SB,20,14-98–2,102.3174,100.5139,.5519137,47.9256,51.7252,15.625,18217,27.6204,26.385,26290,20.55,48.3225,53.4310,31.6265,32.7133,63.2341,-3.9151
UC Irvine,BW,13,8-73–3,99.1238,97.376,.5519138,46.2305,43.69,19.7232,17.6242,30.7112,28.5184,29.4199,33.2251,46300,4525,31.2283,27.24,64.4325,-3.2134
Tulsa,Amer,20,7-131–8,104.4133,102.6179,.5512139,49.3200,53.3309,18.3139,22.630,28.2184,31271,27.4255,30.1182,47.8250,50.6216,34.7112,37.7330,66.6227,-7.2244
Western Kentucky,CUSA,19,10-112–6,106.2102,104.4220,.5491140,52.575,52262,19.8245,20.485,25.9255,30.6262,33.679,17.82,52.285,49146,35.387,37.1323,70.158,-6.4222
UC Riverside,BW,16,11-75–3,96.2290,94.742,.5468141,47.3276,44.917,18.9179,16.2303,22.4325,21.24,27270,27.4110,49.7169,46.151,29.4328,28.19,65.7280,-3.4136
Washington,P12,19,11-86–3,98.6243,97.275,.5396142,45335,49.9180,17.168,2413,27.9197,34.4349,3647,32.4234,44.8323,49.6168,30.3304,33.7186,70.157,-3.1129
Abilene Christian   (H) 341 Chicago St.,WAC,17,14-75–5,99.4231,98.089,.5384143,47.4273,52.3272,17.8108,27.81,26.4238,30.9267,38.118,48.3356,47.1270,51.9268,32247,35.3265,71.231,-3.7143
Sam Houston St.,WAC,20,13-108–2,101.4196,100.1134,.5381144,48.4239,50.1186,19.1194,2099,31.967,25.875,24.6317,36.1306,45.2316,50.1188,3596,33.4176,65.7276,-5.1179
Arizona St.,P12,18,6-122–6,97.5269,96.260,.5379145,44.2342,47.571,17.588,19.4132,26.1249,31.5292,21.8348,33.5260,45.4311,45.329,28.2340,33.7186,67.7158,-4.6170
VMI   (A) 206 UNC Greensboro,SC,19,12-105–5,111.338,109.8317,.5378146,54.923,49.3150,17.270,13.2356,24.5282,30.9267,25.2303,26.180,54.636,48.2120,36.837,33.7186,67.9151,-5.7199
Florida Atlantic,CUSA,18,12-95–3,104.9120,103.5198,.5377147,54.431,50.8217,19.7232,18.8163,30.6116,25.570,28.9212,30.1182,54.439,47.589,36.353,38.1338,66263,-5.7198
Stephen F. Austin,WAC,17,13-85–4,99.9221,98.6101,.5375148,49.1210,49.8176,21.9337,23.125,33.734,32.2313,3559,37311,49.4180,50.8227,32.3240,32.2114,68.3131,-4153
Bellarmine,ASun,18,13-97–1,106.695,105.2240,.5370149,52.859,53.9328,16.443,18.1209,21.9331,31.8303,22.5342,30.7197,55.717,56.7351,32.5233,33.9205,63.1342,-3.2131
College of Charleston,CAA,20,11-93–5,101.9183,100.7145,.5350150,48253,50.9222,19.9252,19.9102,34.822,24.547,30.5171,38.5327,47271,51237,33.1193,33.8197,74.71,-4.5169
,,,,,,,,,,,,,,,,,,,,
Indiana St.   (H) 104 Drake,MVC,17,9-112–6,99.3233,98.190,.5323151,51.1123,50.8217,18.9179,17.3261,18.1355,23.729,25.1306,27.5115,53.460,50.2195,32.3240,34.5228,71.329,-5.9206
Montana St.,BSky,19,16-58–2,101.1198,100.0130,.5322152,52.766,49.1142,18.5153,19.4132,25.9255,22.918,41.34,38.4325,50.6136,47.9102,37.326,34.1211,67200,-2.5106
Butler   (A) 18 Xavier,BE,19,11-104–6,98.2253,97.174,.5297153,46.6292,49.5163,19.4218,19.1148,27.5207,27.1115,28.9212,28.5142,47.9245,51.1240,29.9315,31.374,63.9333,-2.6107
Coastal Carolina,SB,17,12-94–5,104.0142,103.0185,.5259154,50.4155,45.322,20.2265,15.1334,34.226,31.1275,31.2148,23.130,49201,47.589,35.479,28.616,65.3299,-6.2215
Weber St.,BSky,20,17-510–1,105.0118,104.1212,.5258155,54.333,51.6246,15.828,20.863,19.8351,26.184,39.412,24.857,55.426,47.9102,35.190,38.1338,71.330,-1.582
Drexel,CAA,18,9-104–5,104.5130,103.7205,.5224156,52.672,51.6246,18122,16.1306,27224,25.158,24.5320,27.4110,51.2116,51.7259,36.837,34.3220,66.4242,-6208
Buffalo,MAC,16,10-84–4,103.8145,103.0184,.5219157,50.6148,48.5116,18.9179,15.4329,35.118,28.6191,27.2264,32229,51.5105,49.4161,32.9206,3167,71.328,-4.1156
Louisiana Lafayette,SB,17,9-104–5,100.1217,99.4122,.5210158,47.3276,47.780,22.5346,20.391,33.929,28.5184,32.8101,36.2307,44.8323,48.9145,34.4127,30.239,70.547,-5.9207
Boston College,ACC,21,9-124–7,102.2178,101.4157,.5206159,45.9314,50.7213,17.588,18.3194,31.393,2439,31.9128,31.2211,45.8305,48.4130,30.8295,36.4303,65.5288,-6.1213
East Carolina   (H) 128 Temple,Amer,20,11-92–6,101.9186,101.2154,.5205160,47.8258,50.1186,19188,18.6176,28.3179,28.8198,33.679,29.2152,45.2316,49.4161,34.8110,34.1211,68.5124,-3.8149
Texas St.,SB,16,13-64–3,104.6128,103.9208,.5196161,51127,52.8291,19.8245,22.235,33.436,29205,28.8218,34.4278,49.7169,51.4249,36.257,36.5306,63.5339,-2.6110
Missouri   (H) 33 Florida,SEC,19,8-122–5,100.6209,100.0129,.5184162,46.3303,50.6207,21.5326,18.2202,32.163,31.4288,29.4199,31.5215,48.8207,49.9178,27.6345,34.6234,66.6230,-3.8150
San Diego,WCC,20,13-96–3,99.8222,99.3119,.5144163,47.8258,46.444,18.9179,16308,29.1149,26.9106,27.3260,23.835,47.2268,46.865,33200,30.239,65.4298,-4.2158
Colgate   (H) 331 Bucknell,Pat,19,9-115–2,104.1138,103.7203,.5132164,52.766,49.6169,17.270,16308,27.2216,2681,23.7330,25.977,48.8207,48.8141,38.613,34.1211,67.2186,-7.1243
Kent St.,MAC,19,12-97–4,98.7242,98.291,.5128165,46.8288,48.3108,18.8171,20.295,31.491,28.8198,33.387,35.2293,49.4180,51.4249,28.6336,29.527,65.2303,-5.1180
East Tennessee St.   (A) 295 Western Carolina,SC,21,12-114–6,107.290,106.8271,.5100166,52.188,52.1266,18.2135,16.8284,31.679,31.7301,18.1357,26.385,51.1119,54.7329,35.667,32.6128,66.1258,-5.5188
New Mexico,MWC,21,8-141–8,106.1103,105.8254,.5078167,49.7183,51.4236,16.339,17.9220,24.6280,30.4255,32.2116,38.1321,48.4221,52.7296,34.5120,32.6128,71.521,-7.8262
Saint Peter's,MAAC,16,9-87–3,97.8262,97.678,.5068168,45.9314,47.259,20.9298,2238,31.586,27.2118,3819,43.2348,43.5338,48105,33.9158,30.551,66.3248,-4.5168
Cleveland St.,Horz,17,14-510–2,104.7125,104.7228,.4981169,51.997,49.9180,19188,22.827,33.242,32.9328,36.536,34.7282,54.831,50.1188,30.9290,33.1150,67.1193,-2.398
UC Santa Barbara,BW,14,8-81–4,101.5194,101.6164,.4975170,51.997,47.780,20.3271,19.1148,30.4117,28.4180,37.129,30.5189,52.285,46.762,34.2142,33.1150,66.7226,-5.3183
Texas Southern,SWAC,18,8-106–3,98.3251,98.596,.4940171,47.6267,46.341,21.2314,16.6292,3520,27.6139,32125,35290,47.7253,48.1110,31.6265,2921,67.1195,-5.1181
Yale,Ivy,18,10-94–1,100.6211,100.8146,.4938172,49.2205,48.8132,17.694,17.8227,25275,28.3176,32.6104,35.3295,48.8207,49.9178,33.3185,31.582,68.998,-4.7171
Rice,CUSA,19,12-85–4,105.7109,106.0258,.4915173,53.642,49.1142,19.2205,13.8350,25.9255,27.4127,32.3111,21.715,52.480,50.4206,36.837,31.272,68.5121,-3.9152
Troy,SB,18,14-75–3,98.2252,98.699,.4899174,47.4273,48.2100,21.5326,20.576,31.393,28.7192,34.268,33.1249,47.2268,49146,31.9249,31.477,68.1142,-3.6139
Long Beach St.,BW,17,10-96–1,101.7189,102.1168,.4897175,48.3240,51.5240,19.5224,18.1209,28.3179,27.4127,39.810,29.9175,46.9276,50.5211,34.5120,35.3265,70.937,-3.6142
,,,,,,,,,,,,,,,,,,,,
Arkansas St.,SB,16,14-55–2,102.0182,102.4176,.4887176,51.6110,49.4158,20.9298,19.2143,30.1126,30.7264,3470,27.1100,50.7133,50.4206,35.765,31.582,68.3130,-1.785
North Dakota St.,Sum,20,14-86–4,101.9185,102.4173,.4876177,50.4155,47.361,18.1130,12.6358,25.2268,25.158,32.1122,24.245,49.2187,48.2120,34.9100,30.239,66.7224,-3.7146
Oregon St.,P12,18,3-151–7,104.5129,105.0236,.4868178,49.3200,52.8291,18.5153,18.5182,28196,32.7322,28.9212,30.3184,50.5140,55.3336,31288,33145,67.3184,-8.7286
Akron,MAC,17,13-66–3,103.7148,104.2216,.4859179,50.9136,49.7173,17.483,17.5248,30.3122,27.7148,37.328,25.876,50.9124,48.2120,34148,35.2262,63344,-3.1124
Fairfield,MAAC,19,10-104–5,102.6168,103.1186,.4851180,51.1123,48.3108,16.443,15.9314,27.4209,26.695,24.6317,30.6193,51.3112,49.1153,33.9158,3167,64.6317,-7.1241
Cornell,Ivy,15,11-63–3,104.0139,104.7226,.4814181,53.446,51.5240,20.5282,17.9220,28.5174,28.5184,32.3111,29.7168,55.128,53.1303,34.3135,32.9141,73.16,-3121
Old Dominion,CUSA,19,8-123–4,102.9160,103.6202,.4811182,47283,50.3195,18.5153,17.8227,32.555,27.8152,36.143,32.7242,48240,48.1110,29.5324,35.5272,63.8336,-8.1272
Illinois St.   (A) 55 Loyola Chicago,MVC,20,10-123–6,108.078,108.8302,.4783183,52.859,50.9222,18.8171,17.7234,29155,32.7322,3470,30.9204,50.7133,49.9178,37.621,35.2262,68.8104,-7.6256
Georgetown,BE,19,6-130–8,106.3100,107.2285,.4768184,48.3240,52262,19.8245,17.7234,33.734,30.3254,28.5225,26.487,44.2331,50.9231,37.227,35.7278,70.549,-7.4251
Montana,BSky,18,15-68–2,98.4249,99.2117,.4764185,49.1210,50.4201,15.117,20.771,17.5357,26.491,33.486,37.8317,48.9204,47.692,32.9206,37.9334,65.5290,-2.9120
Cal St. Fullerton,BW,16,12-66–1,104.0140,104.9234,.4746186,48.8221,51227,18.2135,19.1148,30.4117,27.1115,37.129,27.2103,50160,48.5134,30.5300,36.9317,66.7223,-2.9118
Tarleton St.,WAC,20,10-135–5,99.6223,100.5140,.4739187,46309,53.3309,17.7100,258,26253,32.7322,32125,35.8301,46.4295,54.8331,30.2309,34.3220,64.3328,-6.9237
Princeton,Ivy,17,15-45–1,108.866,109.8316,.4729188,56.29,53.1303,15.321,16.4297,25.2268,23.729,22.1346,22.728,55.621,51.5256,3817,37.6329,67.5173,-1.684
Campbell   (A) 287 Presbyterian,BSth,16,12-75–3,106.399,107.4288,.4726189,53.740,51.8257,15.930,18.4191,23.1310,26.8101,22.2345,25.573,54.439,50.3201,34.9100,36295,61.4354,-4.2159
Georgia   (H) 32 Arkansas,SEC,21,6-151–7,106.398,107.5290,.4686190,50.3159,52.9294,20.5282,15.4329,27.2216,28.5184,38.815,25.573,52.188,54.9333,31.5270,33.3167,69.386,-8.5282
UTEP,CUSA,19,13-86–3,99.0240,100.1135,.4672191,47.6267,49140,16.549,21.644,23.8301,30244,29.3205,38.1321,44.7328,49.4161,34.7112,32109,66.4238,-4.1155
Mercer,SC,21,13-106–4,104.0141,105.2241,.4661192,52.477,52.6284,19.5224,16.4297,23.4305,26.593,29210,27.5115,50.9124,52275,36.257,35.7278,65.7279,-5.5187
Bryant,NEC,19,12-88–1,103.8147,105.1239,.4629193,48.6231,4889,19.1194,15.9314,31.679,32.7322,32.7102,25.266,5292,47.279,29.7321,33.1150,71.327,-4.3163
Brown,Ivy,20,10-122–5,99.4227,100.9151,.4579194,49.3200,50.8217,18.8171,20.576,28.1189,27.6139,29.7188,33.9265,49.4180,50.9231,32.7221,33.8197,68.1138,-7.6257
Pittsburgh   (A) 43 Wake Forest,ACC,21,8-133–7,98.5247,100.0132,.4551195,45.5324,48.6124,21.2314,15.8318,32.752,26.7100,44.61,29.5161,45.9303,47.899,29.8319,33.2163,64.1330,-7.7259
Fordham   (H) 101 Rhode Island,A10,19,9-102–5,95.6300,97.377,.4505196,47.6267,48.5116,17.694,20.576,24.7277,27.5135,30186,31.1209,47.5258,48.8141,31.8253,32109,68.1145,-6.2216
Loyola Marymount,WCC,18,9-102–5,102.6167,104.4221,.4498197,50.5151,52.3272,21.7332,18.7171,28.1189,29.2211,32.2116,31.9228,52.676,53.5312,31.4273,33.5178,66.4239,-4.8174
Marist,MAAC,20,8-123–8,101.0201,102.8181,.4492198,51.3117,48.5116,18.5153,17.2267,27.1220,26.8101,23.9328,29.9175,51.2116,48105,34.3135,32.9141,66.3249,-9.3295
Stony Brook   (H) 313 Binghamton,AE,19,13-75–2,105.2116,107.1281,.4491199,50.7147,53.1303,15.422,18.5182,25.3266,31.5292,25.6299,21.816,50.1155,56.7351,34.4127,31.796,68.5126,-2.9119
Charlotte,CUSA,19,11-84–3,104.3135,106.3263,.4462200,53.347,52.2269,17.7100,17.4257,21.1341,27.6139,30.6169,25.266,53.266,50.7222,35.667,36.6310,66.1259,-3.6140
,,,,,,,,,,,,,,,,,,,,
Howard,MEAC,16,8-102–3,102.2177,104.2215,.4429201,52.859,49.3150,21.9337,23.220,29155,36.1355,28.6222,34.1271,50.1155,49146,38.216,33.3167,70.548,-7.1242
Nicholls St.,Slnd,18,13-93–2,102.2175,104.3217,.4410202,5293,50184,17.378,19.5124,29.6141,29.6232,21.8348,40.2338,53.460,48.4130,33.2189,34.9242,70.160,-4.4164
UC Davis,BW,14,9-73–3,100.8205,103.1188,.4357203,49.3200,48.2100,17.9115,19.7110,26.2247,27.2118,27.7245,39.3332,48.9204,45.432,33.3185,35.6274,68.1140,-5177
Southern,SWAC,19,12-96–2,99.5226,101.9165,.4319204,51.8102,50.6207,20254,25.45,24.3285,33.1330,29.7188,49357,48.1234,55.8341,39.66,27.65,71.134,-4.7172
Northern Colorado,BSky,17,10-105–3,107.092,109.6311,.4306205,55.317,53300,18122,14.4342,19.4353,25.672,30.8164,29149,54.831,50.7222,37.227,38.4342,69.387,-5.5190
UNC Greensboro   (H) 146 VMI,SC,20,12-94–5,97.3272,100.0131,.4214206,48.8221,50.3195,21304,18.2202,31.586,23.729,29.4199,25.573,46.6286,50.1188,3596,33.7186,62.5346,-4.8175
UT Arlington,SB,19,9-125–5,98.1254,101.2156,.4121207,46.1307,48.4112,21.1307,18.8163,30.9104,31.2280,32.2116,32.1231,46.6286,45.944,30.1311,35247,65.5286,-6.5225
Georgia St.,SB,14,8-92–4,100.0219,103.2190,.4110208,45.2329,54.1332,16.651,23.125,31.297,31.8303,26.4282,32.5237,43.1345,47.692,32.5233,42.7357,67.9152,-5.7196
Western Illinois,Sum,20,13-94–6,102.0181,105.4246,.4083209,50170,51.5240,15.828,18.6176,29.8135,23.835,28.7220,32.9245,50.3148,49.9178,33.1193,36.7311,70.839,-6.1212
South Florida,Amer,19,6-131–6,92.9331,96.158,.4032210,41.8355,47.571,19.4218,18.4191,31102,27.8152,27.1268,30.7197,44332,48.2120,24.6358,31.170,64.7314,-6.6226
Massachusetts,A10,20,9-112–6,109.949,113.7340,.4022211,51.8102,55.1347,16.135,17.1272,28.7166,30244,34.863,28129,45.8305,55.3336,39.66,36.5306,68.997,-6.6229
Samford   (H) 75 Chattanooga,SC,18,13-83–6,101.7188,105.4245,.4013212,50170,52.7288,19.7232,18.6176,30.8107,27.2118,26.7277,32.5237,51.996,53.5312,31.7262,34.6234,70.453,-4154
Harvard,Ivy,14,10-72–3,100.6210,104.1213,.4009213,49.8180,52.1266,16.443,21.156,26.4238,26.8101,24.8313,34.1271,49.1194,49.9178,33.8164,37.1323,68.2136,-5.1178
Winthrop,BSth,18,13-86–2,103.4151,107.1280,.4006214,55.711,52.9294,21.1307,19.7110,24296,28.3176,35.156,34.7282,55.717,50.2195,37.227,37.8331,69.966,-3.8148
Norfolk St.,MEAC,17,15-56–1,98.6244,102.1170,.3998215,49.5189,45.731,19.4218,18.8163,28.3179,27.3125,3914,33.3255,48.8207,47.384,34148,29.323,6994,-2.4102
Boston University,Pat,23,15-96–5,103.8146,107.5292,.3993216,50.6148,50.2191,19.1194,17.7234,32.456,24.444,29.7188,28.9146,50.6136,50.5211,33.7169,33.1150,64.5320,-6.2218
Niagara,MAAC,19,9-114–7,98.5246,102.1169,.3988217,49.8180,47.884,18122,17.5248,21.9331,28.7192,30.5171,29.5161,48.2228,48.2120,34.9100,31.477,64.1331,-7.1240
Cal Baptist,WAC,18,12-92–6,102.5170,106.3264,.3965218,51127,49.5163,20.5282,17.1272,28.7166,28.2171,40.56,34267,52.188,47.794,32.8215,35.1256,68.4129,-5.7197
Florida Gulf Coast,ASun,20,13-93–5,102.9163,106.8269,.3952219,52.766,51.1229,20.6291,16.3302,30.7112,27.9157,28.4228,24.550,51.898,50.3201,35.765,34.9242,69.870,-6210
UNC Wilmington,CAA,18,15-59–0,99.5225,103.3192,.3945220,46.4300,51.2230,15.523,21.351,29.3147,30244,32.997,36.3308,45.8305,50.7222,31.6265,34.9242,67202,-2.399
Eastern Washington,BSky,20,11-115–6,102.0180,105.9257,.3931221,51127,49.1142,18.7167,16.2303,25.3266,25.263,33.291,35.9302,49.2187,49.7169,35.667,32.2114,70.840,-7238
Jacksonville,ASun,16,13-75–3,95.4304,99.2118,.3901222,48.2245,48.2100,20.4277,17.7234,3264,21.77,27.6248,32.6240,45.8305,51.3246,35.667,29.730,62.5347,-4.2160
Fort Wayne,Horz,19,11-106–6,99.2235,103.2189,.3899223,5293,53.8323,19.9252,21.351,22.8315,29.7236,26.2287,26.690,52.480,54321,34.3135,35.7278,67.6171,-7.5255
Penn,Ivy,20,8-125–2,102.9161,107.1283,.3870224,51.2120,51.6246,17.7100,16.1306,24.8276,29.2211,24.2325,28.7145,51.3112,52.2281,34148,33.8197,67.9150,-6.5224
Southern Utah,BSky,17,13-67–2,101.6192,105.8253,.3857225,51.2120,50.9222,18122,16.7287,27.1220,23.524,36.143,26.180,53.363,50.8227,32.2244,34209,69.680,-3.1126
,,,,,,,,,,,,,,,,,,,,
Marshall,CUSA,19,8-131–7,102.5169,106.8270,.3851226,48.8221,52.4277,18122,18.1209,28.7166,29.1208,25.8295,28.6143,53.654,51.7259,27.3353,35.7278,72.77,-8.3274
Youngstown St.,Horz,20,12-106–6,102.8164,107.1278,.3850227,50.9136,50.1186,17.7100,16.9281,29.8135,28161,30.6169,30.7197,50.4145,48.1110,34.5120,35.8285,66.5232,-7.3247
Portland,WCC,20,11-102–4,99.2236,103.4193,.3835228,48.3240,49.3150,19.3212,17.7234,25.2268,28.7192,33.972,26.588,48.1234,47.794,32.4237,34.5228,68.8101,-5.8200
Detroit,Horz,17,8-105–3,101.0199,105.3244,.3829229,51.3117,52.9294,18.4147,19.6117,27.7202,29.2211,22.8338,28.2136,47.9245,53.4310,36.837,34.9242,66.4243,-6.3220
Valparaiso,MVC,20,10-123–7,100.9202,105.2242,.3817230,51127,52.2269,16.857,17276,19.5352,25.875,24.9310,23.835,52.383,50.8227,32.7221,36.4303,65.6283,-7.4252
James Madison,CAA,17,12-73–5,104.5131,109.0304,.3802231,52.282,54.6338,18.3139,22.235,26.4238,30.8266,33.972,27.1100,52.577,55.7340,34.6115,35.6274,70.161,-4.4165
Georgia Southern,SB,16,10-93–5,95.9296,100.1136,.3792232,49215,48.5116,22.1342,2099,28.1189,29.7236,30.7167,34267,52.577,48.3127,28.5337,32.6128,66.9213,-5.9203
Wright St.,Horz,21,12-109–4,103.0158,107.5293,.3781233,5293,51.6246,19188,18.2202,28.2184,30.2251,31.7133,24.959,54.342,52.4288,31.4273,33.3167,70.452,-6.9236
Air Force,MWC,20,10-103–6,94.6309,98.9107,.3751234,52.672,48.195,22.9348,2159,19.9349,29.3219,25.7298,38.4325,52.188,51.1240,35.577,28.19,62.8345,-5.5185
Kennesaw St.,ASun,17,9-124–4,102.5172,107.2286,.3724235,50.1166,53.9328,17.8108,20.576,28.2184,29.3219,29.5193,34.2273,49.4180,53.6314,34.2142,36.3302,66.8218,-7.9267
USC Upstate   (A) 337 Hampton,BSth,18,9-116–2,103.9143,108.7300,.3712236,52.956,49.8176,20.4277,17.6242,22.7317,32.6321,29.5193,39.1331,49.2187,53.2304,38.810,29.831,68146,-6.9235
Ball St.,MAC,20,10-115–5,103.0159,107.9297,.3683237,51.8102,52.9294,20254,17.1272,26.1249,28.3176,37.920,34267,50.6136,51.4249,35.667,36.5306,69.773,-7.3246
Bowling Green,MAC,20,11-114–7,106.0104,111.4331,.3607238,49.2205,52.5280,16.960,17.4257,32.359,29.6232,31.8132,31.8224,48.2228,52.2281,33.9158,35.4269,72.113,-7.9266
UNC Asheville   (H) 132 Longwood,BSth,18,12-94–4,100.3215,105.5248,.3599239,49.7183,49.4158,19.5224,18.6176,27.3214,35.6353,33.679,24.347,49.3185,52.2281,33.5176,28.312,66.1255,-5.6194
High Point   (H) 129 Gardner Webb,BSth,18,9-123–4,97.9259,103.1187,.3551240,47.7263,50.4201,19.5224,19155,27.5207,31.9308,32.7102,34.4278,46.8280,51.7259,32.9206,32.2114,65.7275,-7.9265
South Dakota,Sum,19,13-86–4,100.8206,106.5268,.3458241,49.9177,52.5280,1633,16.4297,27224,21.55,37.425,33.8263,49.1194,49.8173,34.3135,38337,66.3246,-5.4184
